Letter,Spoken Form
a,alpha
b,bravo
c,charlie
d,delta
e,echo
f,fox trot
g,golf
h,hotel
i,indigo
j,juliet
k,kilo
l,lima
m,mike
n,November
o,oscar
p,papa
q,Quebec
r,romeo
s,sierra
t,tango
u,umbrella
v,victor
w,whisky
x,ex man
y,yankee
z,zip
